"","year","tmax","tmin","af","rain","sun","location"
"417",1971,6.36666666666667,1.26666666666667,8.33333333333333,54.1333333333333,45.2333333333333,"T04"
"418",1972,6.36666666666667,1.73333333333333,9,69.7333333333333,34.4,"T04"
"419",1973,6.4,1.03333333333333,10.3333333333333,67.3,55.2666666666667,"T04"
"420",1974,6.86666666666667,1.6,7.33333333333333,142.2,43.4666666666667,"T04"
"421",1975,8.03333333333333,2.33333333333333,7.33333333333333,127.033333333333,51.3666666666667,"T04"
"422",1976,6.83333333333333,2.1,7.33333333333333,55.7,38.6333333333333,"T04"
"423",1977,4.1,-1.26666666666667,16,78.6,41.6,"T04"
"424",1978,4.9,0.0333333333333334,11.6666666666667,105.566666666667,40.8333333333333,"T04"
"425",1979,3.53333333333333,-2.2,19.3333333333333,61.9,51.2,"T04"
"426",1980,5.56666666666667,0.533333333333333,14,96.7333333333333,27.4333333333333,"T04"
"427",1981,6.43333333333333,0.666666666666667,14,73.5333333333333,41.8666666666667,"T04"
"428",1982,4.7,-1.23333333333333,15,77.3,NA,"T04"
"429",1983,5.93333333333333,0.633333333333333,11,86.4,NA,"T04"
"430",1984,6,0.566666666666667,10.6666666666667,105.666666666667,NA,"T04"
"431",1985,5.03333333333333,-0.3,14.6666666666667,36.0333333333333,NA,"T04"
"432",1986,4.56666666666667,-0.566666666666667,16.3333333333333,51.9,NA,"T04"
"433",1987,5.56666666666667,-0.233333333333333,13.6666666666667,88.5,NA,"T04"
"434",1988,6.73333333333333,1.56666666666667,9,105.133333333333,NA,"T04"
"435",1989,8.5,3.1,3.33333333333333,91.4333333333333,NA,"T04"
"436",1990,7.16666666666667,1.83333333333333,6.33333333333333,180.2,NA,"T04"
"437",1991,4.93333333333333,-0.666666666666667,17.6666666666667,122.9,NA,"T04"
"438",1992,7.33333333333333,0.9,12,71.3666666666667,NA,"T04"
"439",1993,6.66666666666667,1.36666666666667,9.66666666666667,96.5666666666667,NA,"T04"
"440",1994,5.6,0.2,12.3333333333333,129.433333333333,NA,"T04"
"441",1995,7.16666666666667,1.5,8.66666666666667,157,NA,"T04"
"442",1996,4.76666666666667,-0.133333333333333,14.6666666666667,71.9666666666667,NA,"T04"
"443",1997,5.86666666666667,0.3,13.3333333333333,75.4666666666667,NA,"T04"
"444",1998,7.96666666666667,2.8,6.66666666666667,95.0333333333333,NA,"T04"
"445",1999,7.33333333333333,1.53333333333333,7.33333333333333,88.4666666666667,NA,"T04"
"446",2000,6.76666666666667,1.46666666666667,9.33333333333333,138.666666666667,NA,"T04"
"447",2001,6.2,0.166666666666667,16.3333333333333,101.7,NA,"T04"
"448",2002,7.6,0.1,14.3333333333333,120.833333333333,NA,"T04"
"449",2003,6.56666666666667,0.7,10.6666666666667,63.9333333333333,NA,"T04"
"450",2004,7.3,0.766666666666667,13.6666666666667,89.2,NA,"T04"
"451",2005,7.73333333333333,1.86666666666667,7.66666666666667,93.8,NA,"T04"
"452",2006,6.13333333333333,0.6,10.6666666666667,47.9333333333333,NA,"T04"
"453",2007,8.26666666666667,1.73333333333333,9.66666666666667,126.4,NA,"T04"
"454",2008,8.26666666666667,0.733333333333333,11.3333333333333,121.033333333333,NA,"T04"
"455",2009,6.1,-0.266666666666667,16,72.3,NA,"T04"
"456",2010,4.4,-2.36666666666667,20.3333333333333,51.6333333333333,NA,"T04"
"457",2011,4.86666666666667,-1.56666666666667,13.3333333333333,65.6666666666667,NA,"T04"
"458",2012,7.03333333333333,1.7,9.66666666666667,90,NA,"T04"
"459",2013,5.76666666666667,0.233333333333333,15,77,NA,"T04"
"460",2014,7.73333333333333,2.66666666666667,2.33333333333333,188.933333333333,NA,"T04"
"461",2015,6.53333333333333,0.733333333333333,11,95.2666666666667,NA,"T04"
